NOVGE,WPZSM,HIJCL,NSCVV,HULVX,KJPDI,GEJML,LWADJ,SGWKX,IDZGQ
3,1.02,2.88434,VTbpuvWtq,PtkYGgvz,9,OAR,5.1455,2.65847,5.4912
3.715,1.28,2.80873,BZlSUxpLY,5,1.57,sXt,5,1.64707,4.70542
OLAy,rQgiM,6,6,7.10341,6,1,lGfAdKka,4.7844,6
1.119,1.94,xhXKYbS,sWEpSQzEk,5,4,FPJ,3,2.73101,9
uKCI,2.34,JIUuTOZ,4.02,MUOEhcIY,2.16,1,4.8685,2.40924,1
3.957,YLQOz,XVwVKrK,1.12,hHPtgWmb,8,1.25,egVmNIhy,EOniPg,4.8029
3,2,3.41417,xLDzztUhG,2,2,jUJ,3,4.94703,MwBjnWdcbE
3,2,6.94596,bkMphtZDD,2.24509,5.05,1.622,1.9071,3.22277,7.52108
1,1,3,OTYdNkuAA,7,9,LRh,6.8187,3,7.74813
3,xbCtU,6,8,3,4,2,4,5,8.04047
2,1.41,lJJeXvi,hSuwgJDBs,3.5476,2,2.269,oWabzzpW,XyhBZt,2
1,2.0,5,2,bxKlQCYL,PtuetXVhME,RLC,5,2.25147,kAegfloNmM
2,4.15,3,4.46,7,ZmBYfFFkbR,ucX,6.1958,4.18421,lBOxHMqtlR
3,3,1,6.31,4.80242,7,2.005,4.0671,3,6
thdb,TJcqx,OyFwSSx,4.84,rYRWigAd,lJPbmclTdf,1,2,2,9.66231
ajAV,3.1,2.45773,1,3,3.6,1.457,3.3224,1,UPkaLjnjKn
faeg,TFdZj,4,4,2,3.69,viu,2.6722,ybMNxJ,7
1,1.32,yFrFZeN,kOWbaaKpC,3,bswWfLHfHp,nnU,7.7479,5,5
1.204,2,3,rhiChjrRL,YtPYptOF,1.38,Rtv,6.8877,5,8
2,3,6,8,ceLQssTy,7,2,3,cMiBSH,6
1.947,IdvaR,oijryCb,6,5,9.5,1,1.0228,5,PGxFgoWIdC
1.595,JCyqL,vLkmfFz,JhnHpgYUK,glWveglq,8,1,4,4,9.13917
QAkL,xHKnJ,4.49899,WmIEqLBlk,pnJCqYig,6,1,qeOovqke,5.53183,8
3,3,WQXReVQ,YjGGxEpkw,7,6,FwU,6,NNPGDx,gCfwRLekwM
Vudq,gGhTu,WDkQlpD,7,4.07217,8.75,2,4,wYKUGY,HgquywtwCd
3,SrxnW,6,8.23,7,SMUoGuAsKZ,2,4,zDmsWd,9.08783
3.065,lxOPd,TFyrstc,7.67,2.54271,quSqRPFXpy,1.331,MzwHRKvI,5,9
2.425,Fkbfx,4.38435,3,4,4.39,1.225,rQyBLkHo,1,KMArZnLHoJ
1.918,2,1.43117,4.09,1,7.82,2,6.2676,mcDsre,2.90719
1,wgFtA,5,8.37,EKZwhfLO,9.85,dMP,rDCaxHek,1.43133,1
3,AoFXY,1.57017,2.67,3.2737,rDYOBgSEHq,2,AWBEYCJN,3.17063,DQIFfkknxA
AeIM,SytwX,3,QSDoUXXUS,5,8,1.949,6.5515,2,jcSAYKbmkF
2,1.68,5.68819,4.8,7,bRiftzjLFW,XLW,7,2.8826,9.52467
3,MVepQ,zDiLPEb,2.7,clVpLdtj,4.5,2.39,4.7803,GblKoQ,UGbtpIKHvS
ApTw,3.27,4.16747,1.96,5.17546,9.85,1,3,VhcBEC,gawZHhRgRd
1,2,hNZGotg,1,ZhlDZwOB,vyVyMnkydY,1.51,6.3568,YrlmQu,8
2,3.87,1.39524,MYuFRhdfo,QHvYTfmC,5.64,2,3.4387,4,4
1.072,3,2.96244,8,1,5.78,1,1.8476,2.46884,7.24879
1.028,1,uwSNljH,2,3.59643,8,1.351,dVfawumu,2,6.06235
1,3.89,qDzOnNT,4.28,kOlaVfRu,6,2.562,NpsVVqHx,1,7.24806
3.259,3.59,icvKKCt,1,1.12069,GwxjryjbVg,2,jfNgmwbF,4,3.13027
2,4.8,1,tOFUqyIpc,2.17162,4,gft,1,2.34814,6
2,zzPhQ,6.07656,4,6.70563,7,1.69,3,RrAzkb,4.09913
3,4.04,5.52645,7,sxpIvZTd,8.87,2.077,3.8517,CHOIFh,yyswrcgCkB
1,etaUz,vGSmOwD,5.1,oTHNmhyN,uFfBAVYAMf,2,4,1,YsksMNUFrQ
2,2,3.06951,2,4,6,2.506,UqhdRBnc,5,9
2,1,pGbAaYo,3,6,6,2,4.4136,OVbolD,6.78807
1,SAlVo,3.34972,2,tqtalohB,pLaPomNamJ,nyw,7,1,5.19212
3,1.68,2,ksmvujBLk,6,mSoCPLrzev,1,ozTyStCA,3,bztmaiNshn
1,VMJiI,4,gkuWBShui,7.08886,2.24,2,7.8736,RTCukk,9.14782
2,2,HDJuzIH,MjCuhTkeZ,3.36501,6,2,2.9486,wbmAdv,GquvYVknuZ
3.874,4.87,5,4,3,IZTOhZLSaV,2.323,2,3,xxXLIaZWvn
1,UhDNZ,1.47479,7.54,3,5,1.559,6.164,LNNkog,nlefSinieu
3,XYQOI,eKDFwYg,nLUQMBdkK,2,1,1.26,fEPZfoIH,1,2
