VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
IXpk,ITbtsxA,6,PBZR,1,6.374,BaDp,9,3.15,1,pufgjvDAv,3.99648,esgMY,3,3.5044,1.27,obK,2.3,zDUNayDLqC,aXE
Vtoy,6,vkfWeHbXC,eaOl,1,2.4824,2,MUOJMLDLBK,3.473,1.17,ukiDnXcyQ,2.67273,QiZfG,2.22122,3.6551,3,1.9124,1.7,3,xPL
Uflg,QidOlvy,YSxDCNdfJ,hYKb,1.66738,4,2.93,2,2.191,THc,3.74,1,NexPG,upVUL,2,1,1,2,VRdRTZgYyM,1
3,4,2,3.97,fc,2.249,dvCV,WtSzRfEvqX,JfVVB,1,6.83,3.19688,AfzeP,oWOxO,2.8019,2.19,mIc,2.37,9,2
2,2,3,3.193,1,dtLYGdmD,2,5.23873,3.53,PLS,MvHSKSTjA,1.59631,WSbZs,3,3,zVSG,XBt,UWZ,6.82004,mQE
Dxgq,4,6.8985,2.464,1.46574,3.197,3,5,3.321,2,DEWwJeSeR,2.76073,3,4,1.357,2.03,2.0077,1,6,Xyj
2.64545,6,4,2.545,1,5,rZQs,7,3.223,2.21,7.89,3.06817,4,4,1,2,2,1.07,blZqymlXab,yHl
gxcB,4,4,2,1,2,2.84,1,nKywu,1.21,3.24,pnUI,1,3,EshE,3.17,EAJ,1,5.80036,FiV
3,xRPQbLu,5,nVnK,FE,2,mRZA,6.9887,TyKyP,SJz,7.95,2.57954,1,2.38449,DlbD,1,2,1,UBQEvoOGos,kcH
1,1.477,4,ZotW,Os,Xwcmmczx,NYAK,3.55078,4.953,1,1,qNJH,EmAhC,4,2.1049,NRYy,1.2232,2,3,2
2.47203,5,pYcFqhXRD,UfID,1,3.8349,3.29,QWXvfxzWGN,2.382,qPh,5,Beno,1.00743,4.87248,3.1993,1,1,wsm,7.86613,tOq
3.74047,5,7,1.567,MK,2.361,3.23,5,3.916,1.78,5.2,3,1,SbrdN,3,tzee,1,kqC,FZBvexttzK,2.34247
KgTp,3,8,xojk,1.69131,WjCjoJbR,1,7.29677,2,2.4,STNmCyjRO,1,GWoKH,2.94614,3,lubY,Ore,2.21,6.45351,lAH
2.61105,2,HFnWVBMyk,tgnL,dN,6,3.85,GoiXVjCcfY,3,1,7,upOY,4.8044,cCDFG,1,1.25,wjQ,2,FFNTJyPzRX,1.09832
2.77975,3.876,qgAQmsXGd,1,BQ,5,2,6.06167,1,2.54,5.32,2.67413,kOvGp,ooJTD,lwvB,3,1.7152,2,HcPxCJFCKx,pSE
HFhV,UxgrACc,3,ZdQF,oF,2,1,4.49579,3.652,2,xNwAXavlE,3.66651,4,3.75484,2,2,1,1,6.6347,2
2,2,TWOniHnyA,1.37,Uu,6.8968,hQdH,8.34279,2,1.58,2,1.77921,2.96342,vOLnx,1,1.37,1,1,5,1
1.03647,1,gYDQeYfND,3,1.31162,HSNloJbT,tLar,1,4.917,VTQ,7.57,1,2,msLgJ,3.6005,3.87,1,gjJ,5.66594,2
2.5239,hgKpJob,8,1.146,1,3,3.32,PtdzcoxLZk,2.026,2,LxLxgsAvG,2.2222,2,3.93955,2.6235,vRVy,1.6997,1.55,6.63486,KIW
1.3261,1,pJWMjZtAk,2,1.28171,4.6227,FYEC,kLsaVFzSqh,ndzju,HUf,1.95,1,4,3,1,1.15,MJZ,nTf,tknImKkLkf,2
SOKQ,2.87,3,2,1,1.841,1,1.91352,VLLbO,hTf,pxfJDvCYW,GzHe,3.55758,2.52378,1.0558,1.4,1,qnw,QXKeWCNOid,iXR
GAQP,UPxFUcw,eWzMTXETc,1,fi,LiYDEaQC,1,3.58423,DNxRb,1,1,3.54012,3.74998,pRsaO,3.9975,OEJQ,ihc,2,9.93049,2
3,2.035,7.4725,1,KA,6,2.86,NyhmFSbguL,4,2.66,3,3,3.7895,4.89198,1.1662,2,1.6152,1,7.50319,2
1.70859,6,HINjajbTX,gJBq,1,qbLiJYbE,FdYF,oYExWNtXOL,2,1.88,KypGdXxuY,jFRE,2.96357,mtauW,2,1,2,2.94,3,BOM
rEWi,4,lmnSLiCKn,3.301,uh,1.1798,3,kHhBPAkPnQ,4,1.74,PwByvjoyp,1.62366,yKLGt,4,HGxV,3.67,2,1.27,eHhSzldXzh,mxZ
1.56266,2.97,NxqymAEoI,IlsK,1.2318,6.6129,2,oZTQTpffgx,3,1,8,3.14441,1.2409,3.65625,2.6179,2.82,eYg,1.05,6.25103,2
2.66995,3.328,OeswBwfOz,HRig,1,2.628,1.15,7.2753,Xcbeo,1.39,2.24,1,1,4,TqcS,3.54,2.4877,ovT,7.23802,2.27258
2.3541,6.255,1.4273,2.271,1,6,mBhz,5.20429,3.637,1,6,3.59581,1.33308,1,2.8675,yvEn,2.6165,1.64,4.82514,oqC
1.61482,1.749,4,1,Ht,5,Zidp,7,2,2.29,CmieSzrtz,YCLh,1.76492,krrnm,iaVi,1.9,2,wld,7.5453,2.97204
jayt,HxfHLVk,8,3,1.46624,6.8856,2,9,1.017,2,2.13,1,3.4703,4.91995,1.4696,1,2,1,9,hfa
3,2.4,UrIJIHlNj,3.784,1,6,dDDP,xCaSWMUAjj,3,1,8,3,3.9167,1,ZDSY,usmZ,2,YkB,uNVsftLqVl,yrY
PQTl,5.087,8.8361,DdXH,aL,3.7883,2,enAWlQrWbj,slFGM,2,5,3.46812,2,HrFVG,nsYH,YPUP,1,1,8.21922,TuC
bfPd,3,1.09,3.901,mc,2,EhDz,2,1,GLn,6,1.64972,1.5286,4.92417,2,3,2,2,5.41855,2
nCra,5.094,ICRiGiOmP,2,oZ,uOhEWOby,1.34,7.69716,TLIsD,1.65,2,jcOz,3.03885,oqJFc,meqN,1,1,2.25,5.53845,2
1.55742,1.723,4,Pjfa,1.35978,maJadeYH,3.79,2,LvnGP,1,pKJSiIgAl,3.51509,1.61336,sEWtf,VMiY,2.42,1,2,7,ZBz
hMPl,SxzjKNf,7.401,3,1,4,2,7,HEAhm,zJG,ZsFmmvNZq,3,4.11305,1,2,2,2,1,1,1.52013
3,1.788,JTroChdGA,iPLA,1.13275,5,1.72,AIYaJCGauh,2.114,gyl,JyKWkYJxJ,2,2.7058,1.19534,EXtm,frWJ,2,EKF,5.67233,2
3,CBvPsHd,ecoteJQZI,1,1.57441,3.335,sjDx,3,2,2.17,6,oKUp,ncocv,4.04249,sDro,ekgC,1,EiV,1,eer
QKUY,wUDDyOi,5.1525,3.886,1.08914,2.6303,Omvy,vhGfxJtlyx,4,afJ,2,2,1.51739,TsvKn,2,inLi,2.2046,QFJ,2.27753,2
Zucw,6.786,2.2447,2.818,1.80134,6,PPhP,9.70865,AHSRC,gXt,5.06,1.73104,LZYtB,4,3.5552,OCTC,2.3872,1,1.08965,oaf
1.61163,RPoDCVx,afnWtgSSI,NVEr,1.9452,6,1.19,ovGtcqpUGT,aoyHI,2,BUNwzTfIu,ZDMZ,norLL,2,1.7357,3.65,1,2.25,9,1.17159
KGUt,2.271,7,2,rN,RaJNZZoi,1.04,7,4,USh,EadqLTBff,1,4.65044,2,1.9262,1,wKZ,1.11,7.76513,1
2,fqWvsYw,3,1,Ac,7.7878,PKgl,2,VQrtb,1.33,6.81,3,3,4,dNsG,3.12,2.6905,2.55,9.93196,Szc
1,lXNNMWa,8.8743,1,Ow,5.1811,drVh,jbrWkkBUCX,1,utb,6.67,3.18046,Xeghf,rNCxk,1.9341,2,QVd,1,1.01579,2.40314
Lefh,3,6.6144,3,uG,1,DxnA,wykoUxTXxS,bIbxg,1.32,BFKOQSvcS,2.817,1.10195,oagCq,1.9595,bAaV,PIk,2,1,1.96202
PHzW,XbwCwQd,5.1801,1,KF,OOrMIEFj,2.56,8,4.925,Ylj,5.26,2,4,1,3.069,QgUH,HDt,2.54,3,2
1,DkliJAH,5.6464,tFzC,1.86115,7.1513,OnXb,4.3313,3.067,SWc,1.61,1.20563,2.43703,ZGsfE,1,3.53,1,2.82,4,2
Xyyo,4,5.3325,1,oi,fPQCdcxm,jedl,gmUmKUONmw,1,2,3,1.43631,bZoTQ,2,FOpv,3,1.4548,1.43,5,2
3,3.044,cGnbkHDlS,1.809,pR,iZnhdlqR,3,4,Szyhv,2,DbBrHjjWb,3.99502,2,GNaFx,3.2386,2.31,2.8605,iDg,8.01301,2.22137
1.04971,3.216,6.0681,1.206,1.83046,YqBSyMNr,1,1,1,UNv,gsrPRXAhq,Cvbo,2.68769,aGIkd,NDqP,1,1,2,pTUZMBiLAo,2.74792
2,1,3,3.813,1,vJrcQOvE,3,RmjYgWXHfY,1,hHY,1,cMFO,1.5718,1.20085,IAnv,DCeb,yxc,SBG,8.80655,2
FJPw,OgqemCp,tnifmnAEW,3.057,1.83946,zFAIIaDB,3,8.78266,2.402,wNb,tFJXzTNFE,nIVX,hrCpl,1.62829,IoEp,afmm,jID,dFv,6,uSY
GGKV,6.16,HKtfMPhQw,3.614,Wv,1.2192,3.23,mkgSwJdKcE,2.175,2.31,5.98,1.4889,1.53265,3,gEdV,3,2.7385,1.06,1.23457,2
3.79278,3.156,8,IiYl,1,3.716,1,3,vnQJa,1.36,3,2,Qyqzv,4,2.2975,tBTv,1,1,PcAljFdgkd,Ygh
3,6.869,PrbYhvwCv,1.231,1.1529,4.2696,1,1,3,FjQ,3.17,LrLF,3,nqSFK,2.1334,1.98,FVP,Vbn,8,iQC
2.32017,1,epDkekpsy,Kzyb,1,ekGJGHJb,3,5,4,huU,JcDxsezXD,1.67104,1.01586,4,2,whFB,2,2.37,4,2
1,6,3.8886,3,1,4,3,1,2,2.09,8,wVBm,gjIxR,1,rSBw,3,UmI,VgA,2.38139,NUw
2.44288,vOIpgpk,7,3.765,1,3.9912,1.35,5,3.237,CNJ,oONUHbusS,rUBg,3,MeRfr,1.2289,MtPg,dTA,srl,6.28091,2
oYjm,1.58,wcaGObnsi,3.708,Ai,2,1,UbLLcdQYSf,2.178,2,5.18,2,dlUnS,2.27986,1,2,qTp,zUs,5.91302,VBT
3,aVCrteX,1.5028,2.788,1,VdujLzPT,1.27,mtYJFZmuoP,fwxZZ,1,2.43,2,2,2,2.9227,GuJX,1,2,smbNHgSznn,2.84216
2,2,3,1,1.66497,wNqQtqAL,frfm,2,2.04,2.27,8.42,2.13065,HoxJF,XpOJj,WIXK,3.18,1,2,4.05563,2
uxCV,6.218,eOUoQaMvl,PotV,1,4,3,6,LCJLR,zdr,3,1,2,1,qWQL,1,2.2312,1.98,cZjhVsaTFc,1.86574
uika,4,rwKSqOEju,1,mr,1,llPX,InooUcheAU,oVCds,2,7,1.43645,1,VGPhg,uYkN,3.26,1.3436,2.54,nHZhSJhtba,2.24585
3,3,BJloFcJOr,RXkC,1,5,JiKb,AcTCTDjNdz,MwUEl,2.98,5,TROC,ZAAsX,2,1,1,1.2132,2.63,7,2
vBaj,5,8.814,2.203,1,3.7932,IRgZ,4,4,1,3,3.93461,3,2,3,3.82,1.097,2.56,QtLXkIjIzU,2.1503
ULrM,2.643,1.9291,3,1.30315,6.9221,1,gHbbumvGAb,4.629,1,bnjumKWte,qzkw,1.42763,2,bcQo,1,Dkl,kQY,3,1.35094
1.49905,6,7.0961,1.703,1.42927,7.53,clIW,6.19045,2.263,GlO,7.44,1,4,yAuJx,2,3.49,hin,1,6,1.41758
3.90456,usFbXKs,5.2205,2,1,6,SaXZ,1.79309,TkzEY,2.47,1.66,IpID,1,1.66425,1.7574,3,Hjr,fFO,8,DXe
3.19955,2,4,3.84,Kf,7.3758,3.7,5.45568,kyhhb,1,8,2,YyOGl,3.91671,3.5818,2.71,1.5052,1,1,Nsb
2.96964,JAvlhjx,7.3148,2,tW,SQocCbXz,3,1.59888,HFcEQ,2.1,aeNDfWvUI,1,3.85501,SEDYR,1,3.62,Qsd,1,1,1.50164
gsHX,3,3,jiqO,MJ,7,1.23,niAyDPKVLf,2.642,1.3,7,3,2.53609,NQguY,2.1646,1.0,2,1.65,4,1
3.48352,2,8,2.578,1.38528,3.9148,3.43,4.14351,1,1.75,6.39,1,1.98799,1.68326,3,btDd,2.6946,2.98,3,2
tayk,3.843,4,KRrm,gF,6.3573,2.61,4,2.752,2.47,ukKVLzlZz,3,xxftk,Bdfwz,3.7087,2.43,1,1,4,2.8241
2,2,3.1889,2,1,1,cryS,xZBhhnMWLy,1.473,aQM,6,TLlA,2.79529,1,2.1533,2.7,1,qQi,cJkxPjDTKM,1
1.02589,3.513,UxgzucePK,1,yF,6.4325,1,4.26382,3,nVl,KKoOdQrpx,3.17673,ApDMQ,2,3.9598,2.25,2.0915,UYA,2,OKX
nadX,jqTdwHU,8.4499,1.647,1.18348,2,2,6.09767,3,2,4,TuaD,XtvOM,4,2,djEf,2.101,2.7,6,2
1,2,6,tUqJ,1,1,PUAL,6,IkSRS,2,5,1.50842,YeTlp,nahgv,2.0884,hNXN,2,2,OHzujBypWA,2.83858
3,3.248,2,cIIB,1.5603,7,iHMO,7.5764,2.591,1,3.04,adnX,3.65764,4.65677,fRgJ,3.03,1.1303,fJl,GwKrudTGEu,1.83433
1,4.251,fpHsVIOXr,2.68,1.81396,EFLTTEMr,Utgq,2,CoZhS,ZqE,2.39,2.16088,3,qeCdv,hALP,dbtV,1.5708,ELB,9.49451,2.15042
PkCA,5,4,AcCQ,1.91405,3,3,LzevndAaoW,gbgYN,1,4,RmCB,JbwYg,jAcoG,JgqQ,ykIN,veB,1.42,4.27119,KrA
3.64562,LheNCCV,2.6557,qSJs,1.15223,3.5789,wzxv,2.60638,3,1,pfaAyBWMm,2,1.38554,4,ZrAl,3,toz,1.99,7.49067,2
3.47992,2,5.924,1.918,1,7.8353,1.53,3,1,HER,8.04,urWq,2,zzTgn,1,3,1.8411,1.9,eAtBYsKrtW,lPn
2,1,4,3,1.26476,6,uWJG,YbNPIfSAwd,3.553,1.32,7.57,icUA,3,3.23087,2.3074,2,2,Dpq,brsnZolEHX,2
1.61646,3,5.2374,mysG,1.99565,5.9729,XJYv,6.92402,3,gpd,RRbFZdoYu,3.10778,3.0976,4.92406,IjDC,CSXF,1,1.62,FxZpfZGnyR,2
WHIv,1.934,6,TJLk,QC,6.9965,WZTW,7.01423,4.644,1.62,IrPsDaUfJ,1,2,1,2.0392,3.75,1.16,2.78,3.39231,vgy
3,4,1.4437,2.679,1,3.546,1.49,ShXpqpJVTX,aPuEd,2,2,1,AsjKU,1,2.5347,1.16,ZbR,2,UjFtHAwpTZ,1
3.23471,PozaExp,8.2078,2.494,wc,6.9194,qDTg,2,2,OXi,czFHUUTbA,3.29775,1,3.5949,2.395,HKWd,2.2352,QBN,8.25813,1
gdUF,ZWGxBfn,jZYmkWNre,1,1,5,luWu,utqYGzvouG,3,2,7,rIyB,tYuds,1,3,3,2.2713,1,4.436,2.18047
2,2,5,1,wY,ZrohsLGP,3,pHFdQKCCgS,ImVfK,2.94,4,asDa,1,4.29362,1.4382,2.16,iEb,MJy,9,lXk
3,1,7,3,1.05409,2,2.59,2.64799,1,2.03,5.12,1,3,bFpGr,2,1,1,1.81,5.47396,1.40152
Mygp,3,ThMzuOuBU,2,kH,6,1,8.44179,4.868,2,7.51,GPBI,qazEl,jUlEn,2.0895,iiQI,1,2.64,3.84299,YmW
puCW,3.347,fhgQGRsLJ,3,1.21301,2.6673,jryH,7,1,muO,5,ePMH,3.17696,ZVwjG,3,APfk,2,1.19,2.82604,adr
tojj,3.054,PstJgwhFV,WCkE,1.41845,cBZDOAOd,3,8,3.206,1,7,2,2.98219,4.74602,3.5857,2,1,2,4.54645,1
2.62868,5.743,4.7553,2.794,vk,4.6187,2.29,AJGaPPdXkT,2,1,2,wggI,1.39549,ugNiu,CucU,WOhJ,2,WJx,2.77114,Qgw
3,1.747,CzYkEcVoj,3,1.84983,6,2,5,4.73,JlW,8,3.31007,4.51936,dEEQF,TFUX,hWDX,2,AjR,6.57617,2.13646
2,6.882,6,1,1.87889,2.7986,3.95,8.72802,nEsrP,2,3,3.41074,3.9514,CXzOz,xwbE,1.44,2.5535,Skq,3.11942,aID
3.47363,6.055,3,2,YW,DtYlALJb,BOMA,1.46245,3,2.88,8.56,1.30658,2,1.683,JVqw,AFVn,2,1,1,1
3,rrJLfpl,5.2031,OnzV,1,5.0918,NZVJ,AZcnIwFOjO,1,QwO,2.66,1.20931,4,zKAse,1,2,2.8105,1.95,5,QOP
2.53132,6,4,1.124,Xh,JATGSSXB,1,4.38555,LplUg,1.91,DoRNQgxSs,HGIQ,1.61241,3,hFAK,3.62,jga,2.24,qvYSrejNva,1.02908
2,CfyRuNv,TbicdwQvu,2,Fh,7,VkqQ,GZAaeKQrbO,3.705,psv,5,2,1,2,2,2,2.6679,2,4,2
2,2,8,1.855,KW,LqehSRrd,2.42,2.70658,2.768,UlN,8,UdgU,3.99004,ahSVg,3,2.31,2.1854,2,8.78078,1
2.61435,2.727,5.2136,1.222,1.94574,AYDxxsIN,3,fJPwXXGWYi,BRDiq,1,4.78,nlZx,3,1,3.1857,BAYG,2.1559,1,snZAovgueD,1.08478
2.71895,2.988,xtIctIXoF,2.781,1,5,1.91,5,1.916,1.38,lEvgiAQGx,1.12086,3.64369,iTfam,JXuA,1.53,2.3724,1.34,8.07311,1
3,6,SlPygRdEG,2.731,1,ReJDjHKL,1.0,1.77759,2.583,1,yBhwCGQvt,1,3.15584,wkhhx,3.3831,2.43,yHk,Our,IXPKLcVoiF,1
Qkya,SSSFGWG,1,2.126,1,5,2,6.0355,1,2.01,1,1.09562,2.42593,3,2.9173,ANwG,1.5012,2.56,uYYcLDcQGX,2.22979
2,5.59,3,iSLW,1,5,1,5.51742,aQkrb,2,hsAWGRgPH,sAuu,2,2,1.4906,1,1,1,TsSNdSyume,2
Namm,YAyUCpg,5,1.26,1,1,2,7.16189,4.87,2,5.78,2.81528,pDUtN,3.13489,3,KBEQ,TSy,2.71,aMybhkKFoK,2.79026
RCVW,4,6.1619,vsXU,1.34599,KsEEteZP,3,8.5746,2,qaw,1.54,3,oWdEK,3.92813,LRDL,1,1,2.16,rnUvAPKXNi,BHW
1.60006,4,6,1,It,2.7201,3,3.49592,2.221,Jok,7.72,1,cJamS,3.11016,DBRP,ufGV,xqu,2.34,7.79505,2
1,MyVVJey,JNMazOfUm,xKLC,1.17454,4.5257,TNMP,9.53682,3.148,1,4.37,3.70006,jaGZL,NEeTZ,hwGV,3.22,IAY,1,5,2
1.23689,zgpAjZk,5,2,1,EIaxUAqF,TTcW,9.55653,wWaaA,1,4,iyeg,aUDrQ,2,VsrN,2.83,2.578,2,OBxGzwmKcz,YNy
PYRi,3,4.6232,WvpT,1.79792,7,2,8.42552,CeWIs,ZLi,CeWGXXgJA,PfOJ,3.8802,4.05316,1.819,waKa,MOJ,1.82,5.57508,2.82074
3,6.949,BflgZhDds,cpSF,Qx,UCvrDiMv,gbQe,3.85845,3,1,3.84,pLjk,2,YtTOL,3,KGKY,1.5927,2.21,5,2.89166
CNLD,4,jFBweRRzO,QNMC,Ov,2,1.71,PYfsiZghGT,fjrUC,Kxf,5,2,3.43808,4,2.8128,MIbb,JCt,1,4,1
2.49299,1,2.9594,dCGz,1.46621,fJTVmqQl,1.54,1,2.229,2,8,3.68916,4,2,2.8896,2,OLL,2,1.30929,1
ibvM,1,6.1243,3,ur,3,vgwZ,1.27961,1,1,6,vpGf,OrDmR,3,3,2,1.856,2.87,9,1
1.46612,2.202,5.1577,2.807,Tf,1,KDUG,6,1.743,1,3,3.81613,2,DJbLT,1.2086,3.71,2,1,KXtJViIiPf,KTI
2,xoncEwk,2.1129,HRqU,1,4,SvwS,EwlVxkbFpj,1.263,1.07,HKVpsVsVk,1,4.96418,OlGJp,TnCH,3,2,WEP,8.64671,2
2.25279,5,8.3384,1.158,1.27631,1,2,2,4,2.38,6.02,2,YgrXH,dVrqE,MQwC,VXXH,2,2,ZLhuqClzaF,SiK
1.34271,4,3,KowC,1,6.93,optA,5,4,1,7,2.22816,3.59996,3,2,2,2.482,1,7.93967,1.0947
3.16153,3.716,1.3679,3.174,1,UZZZwgbM,ukIA,VRjkROZSiH,qVzTb,FXV,2.07,2,4.98033,1.32725,3,pyhY,1,2.36,ZIptlKznQV,1.89737
3.51928,4.341,3.3112,1,1.87776,RathFlnW,YXLe,LHCtFAyIOC,2,1.14,2,tpRC,1.55226,4,3.7977,Qbkb,1,DyO,HuzlHlHttN,1.97655
NtMb,3.474,2.9893,2,iN,6.6513,1.18,1.03807,2.428,1.74,5.04,1.13575,1,4,2.6494,aVGE,2.5651,CpV,6.3492,1.58117
2.99774,LyZRvFI,5,3.009,nB,2.696,UhNk,NWsMSXausp,4,2.38,6,2.13568,4.71404,3,LViX,JCIJ,2,iGx,8,1
1,5,YKzyWcwHy,2,1,6,3,mTDBrOYZhp,1.171,1.89,KzygovGej,hpYa,4.75335,nPoBK,FHqL,1.75,2,2,1.23641,2.97479
3.34353,4,7.6072,2.767,wV,5,NAQm,oVTqEdKnED,4,2,5.59,3.74034,4,1,3.1152,2,ZGS,1,ygAMulzejY,1.56609
1.919,1.827,4,jqog,qg,5.8055,CglS,npRIqjHNht,rkLZG,1.23,1.17,3.23647,2,2,2.7503,KPEI,GDB,yEa,8.20459,1.6317
FUWL,4,OMDwRJgKQ,rjyn,1,4,2,6,2.838,CGM,jBjXpGsUJ,3.56502,4,3.53025,3.8257,3.01,2,1.52,MSTseumhOC,1.70759
2.54767,CeqlUbh,EuzgRluDT,rIlI,1,KzWaERdb,JdXN,7,iQnLw,2.16,6.43,2.73758,2,4.44296,2,2,GOS,1.03,2.43323,1.19798
2.7197,1,fgRxHDpNQ,2.731,1.26653,fEdbHmrw,2,4,4,1.15,5.68,2,LwaSp,1,2.4115,2.33,Glr,1.25,SSKbHldnhg,1
Gzbo,uKvwHgJ,1.507,3,1,6.133,2.62,2,4.123,ccd,5.84,2,1,4.21731,3.4781,2.88,1,1,ZKAKiyBPzY,2.96651
3.85804,jdEoywA,BOcrbqwpd,2.31,1.10572,4.0824,2,AtgWqMOLvq,2,zzp,8.81,PvXx,4.49851,fcAGT,FoTO,lvPt,2.0949,NkR,5.57309,aqu
2.54329,CTPPvzc,TEWNTGkwb,GGsV,1.01441,7.6382,3.65,iyCYjmTwJe,2,1.11,PVjymhsiT,RcWX,4,4.73567,1.5073,1.81,2,eQD,vNobCusQBU,fUd
1,zCrbkNj,2.1946,1,1,3.2087,2,6,3,2.68,6,1.91086,2.42183,4,2.7705,1.22,2.6665,PXL,8,2
sFTe,6.14,7,1.03,1.09073,3,1,8,2.954,1,2,1,3,3.82991,1.3924,gSxH,2,2.37,5.83721,2
3.57671,4,8.2938,3.033,1,nlHfZUZD,3,3,1.04,gba,6.67,2.27825,ZKJVl,KkuEq,3.5382,3.19,1,swq,lhzlKvLxBb,LDf
2,2,dKFEdOyRE,ZoyA,1,vRFuBgQk,IDfT,kGhrqIoHVe,URJzt,1,2.85,JUVP,2,2,kmrl,3,ARd,2,toPBNlQcBQ,1.78887
3,5.372,VGGLxdXBt,3,1,3.5024,VXHq,7,2,JQr,JuuQNoodl,tMjP,Pecjr,4.56967,3,TSvv,2,1.48,7,1
1.74629,IvQBWAB,3.8335,1.142,1.33218,zoKNKQet,MMHY,aEEJqckgxU,rHPyl,3.0,DQpCfpnuw,1,qTPhr,beUHe,2,1.17,1.1317,pkf,6,1
EvZY,2.627,8.9159,1.668,eb,5,2,3.32343,4,wFU,2,1,MlGRP,4.60213,2.8504,RJJO,2.355,1,iYaeYqfxRt,1.76425
1.62447,zYCBmYn,3.7941,1.124,Yo,YYMCvseB,xmKW,8,RbqAr,vmg,2.76,WWnz,3,jvIpo,3,nCvb,1.7213,1.6,5.41316,bZc
2,wHKdXZN,HSBPhXrzn,mTNO,1,7.8028,3.01,ebaJjYgJhB,3,1.59,5.43,3,1,4,2,Wyzd,1.2306,jPa,3.4503,xFv
2.20429,vLmheSw,4,3.413,1,cghzjxTX,1,4,SoNDB,2.65,5,2.32158,2.4185,3,3.3035,fneh,1,2.54,6,1
1.61055,5,5.5357,Molv,wL,acLGZmqd,3,2.58364,3.386,2.62,1.43,3.94311,3,FDoAy,BzHc,LZqZ,PPW,1.73,1.88251,awC
CgSD,2,5.8563,epQn,dC,PXAZhQYN,1,mfKfJxdIqv,AjEvx,TUt,1.98,2,3,3,1,VEER,tTT,1.43,9,1.23092
WHCm,6.558,4.2524,2.427,1.77663,2.1135,2.34,6.7085,OHBDJ,2.95,3.51,btQc,4.53431,hoBnv,3,3,SGT,yDa,MilHYKDYIf,1
